,Condition,covariate1,covariate2,r,p
0,walking,roughness,roughness,1.0,0.0
0,walking,roughness,hardness,0.21665123923373938,9.348378764438437e-05
0,walking,roughness,slipperiness,0.5821549958646386,2.0172152689349943e-30
0,walking,roughness,stability,-0.014762702163947016,0.7925011372226812
0,walking,hardness,roughness,0.21665123923373938,9.348378764438437e-05
0,walking,hardness,hardness,1.0,0.0
0,walking,hardness,slipperiness,0.18395284854460422,0.0009462871316897645
0,walking,hardness,stability,0.4123120252715947,1.4523900827387246e-14
0,walking,slipperiness,roughness,0.5821549958646386,2.0172152689349943e-30
0,walking,slipperiness,hardness,0.1839528485446042,0.0009462871316897691
0,walking,slipperiness,slipperiness,1.0,0.0
0,walking,slipperiness,stability,-0.027831632073807868,0.6198837081068592
0,walking,stability,roughness,-0.014762702163947016,0.7925011372226812
0,walking,stability,hardness,0.4123120252715947,1.4523900827387246e-14
0,walking,stability,slipperiness,-0.02783163207380787,0.6198837081068592
0,walking,stability,stability,1.0,0.0
0,sitting,roughness,roughness,1.0,0.0
0,sitting,roughness,hardness,0.2996748212075747,4.605746573794537e-08
0,sitting,roughness,slipperiness,0.5131021892314925,6.88857605319941e-23
0,sitting,hardness,roughness,0.2996748212075747,4.605746573794537e-08
0,sitting,hardness,hardness,1.0,0.0
0,sitting,hardness,slipperiness,0.2838879220635786,2.402828232557774e-07
0,sitting,slipperiness,roughness,0.5131021892314925,6.88857605319941e-23
0,sitting,slipperiness,hardness,0.2838879220635786,2.402828232557774e-07
0,sitting,slipperiness,slipperiness,1.0,0.0
0,hand,roughness,roughness,1.0,0.0
0,hand,roughness,hardness,0.31402073150878546,2.2095795451393538e-08
0,hand,roughness,slipperiness,0.596207680772045,1.2022404401207201e-30
0,hand,hardness,roughness,0.31402073150878546,2.2095795451393538e-08
0,hand,hardness,hardness,0.9999999999999999,0.0
0,hand,hardness,slipperiness,0.08937077120941389,0.11996363492935805
0,hand,slipperiness,roughness,0.596207680772045,1.2022404401207201e-30
0,hand,slipperiness,hardness,0.0893707712094139,0.11996363492935794
0,hand,slipperiness,slipperiness,1.0,0.0
